year,age,sex,college,trantime,incwage_cpiu_2022
2019,38,Male,FALSE,5,62076.252135466384
2014,64,Female,TRUE,35,54886.96745030944
2014,33,Male,FALSE,10,44651.28973660309
2022,60,Female,FALSE,15,45000
2009,27,Female,FALSE,60,7256.83248
2022,48,Female,FALSE,15,50000
2009,47,Female,FALSE,45,50643.716839833825
2009,42,Male,TRUE,45,58051.93221856968
1990,29,Female,FALSE,45,49271.70737929715
2022,61,Male,FALSE,80,0
2009,30,Male,FALSE,20,56600.838484590495
2022,61,Female,FALSE,10,31500
2000,50,Male,TRUE,60,152947.5148816725
2022,53,Male,FALSE,15,160000
2014,44,Male,FALSE,30,94069.33952925107
2014,68,Female,FALSE,15,12506.564182314878
2009,42,Male,FALSE,12,56450.81939555129
2019,50,Female,FALSE,25,3581.520346133799
1990,45,Male,FALSE,10,72915.40805
2019,54,Male,FALSE,1,37054.828432530994
1990,34,Female,FALSE,2,17916.984501562598
2014,33,Male,TRUE,45,79286.94410648529
2000,50,Male,FALSE,35,118959.17824130083
1990,40,Female,FALSE,30,3798.400714331271
2019,27,Female,FALSE,35,0
2000,17,Female,FALSE,10,1274.5626240139375
2009,37,Male,FALSE,90,0
2014,51,Male,TRUE,7,30170.525396221896
2014,49,Female,FALSE,7,23487.666251258543
2009,45,Female,TRUE,30,46448.63759
2000,41,Female,FALSE,30,31269.269709141936
2019,38,Male,TRUE,35,0
2009,33,Male,FALSE,30,70671.26522656727
2014,39,Male,FALSE,80,79199.17440628321
2022,16,Female,FALSE,25,600
2009,55,Female,FALSE,10,12232.010996296374
2014,36,Male,FALSE,20,37085.78881777665
1990,70,Male,FALSE,5,21836.324861279416
2019,46,Male,FALSE,5,92637.64339202517
1990,32,Female,FALSE,5,78386.80719433638
2019,54,Male,FALSE,18,144505.01730212648
2022,28,Female,TRUE,20,61000
2009,31,Female,TRUE,35,28640.007907483985
2000,41,Female,FALSE,3,0
2000,21,Male,FALSE,15,10196.50099
2000,34,Male,FALSE,5,62878.42278468759
2009,62,Male,TRUE,50,141127.04848887824
2000,67,Female,FALSE,10,5098.250496
2019,21,Male,FALSE,7,64094.21965551557
2000,24,Male,TRUE,15,67126.96486473405
2009,41,Male,TRUE,20,70563.52424443912
2019,37,Female,TRUE,25,82922.09698806745
2022,28,Male,FALSE,10,40000
2019,28,Female,TRUE,15,27386.211505783725
2019,41,Female,FALSE,30,0
2000,47,Female,FALSE,5,16994.168320185832
2019,27,Male,TRUE,25,36583.244417635775
2000,39,Male,TRUE,30,44184.83763248317
1990,27,Female,FALSE,30,29115.099815039222
2000,22,Male,FALSE,10,54381.33862459467
2000,23,Female,TRUE,15,26680.84426269176
2000,21,Male,FALSE,5,30589.50298
2000,67,Female,FALSE,5,13595.334656148667
2014,45,Male,TRUE,90,70349.26900140112
2019,33,Female,TRUE,25,34584.73546
2022,76,Female,FALSE,20,25000
2022,52,Male,TRUE,137,250000
2009,53,Male,FALSE,45,0
2009,27,Male,TRUE,30,149496.74984736534
2009,45,Male,FALSE,60,35459.057409265886
2000,20,Female,FALSE,10,10196.50099
2009,21,Male,FALSE,25,41773.497247915926
2014,55,Female,FALSE,35,69046.32162093656
2019,56,Female,FALSE,60,54712.90269900786
2000,49,Male,TRUE,15,0
2000,27,Male,FALSE,20,59479.58912065042
2019,17,Female,FALSE,30,17072.02811204398
2009,38,Female,FALSE,20,44031.966442906094
2000,41,Male,FALSE,60,589697.6407104484
2000,37,Male,FALSE,30,47583.67129652033
2014,69,Male,TRUE,10,26576.912459779338
2000,54,Female,FALSE,45,59479.58912065042
2014,68,Male,TRUE,50,586247.2049
2000,51,Male,TRUE,45,152947.5148816725
2000,20,Male,FALSE,1,5098.250496
2022,22,Female,FALSE,10,8300
2022,18,Male,FALSE,15,2000
2022,75,Male,FALSE,20,53000
1990,19,Female,FALSE,10,9406.416863320364
1990,50,Male,TRUE,10,201566.07564257924
2019,68,Female,FALSE,15,7575.104394603222
2009,31,Female,FALSE,25,49344.006004794195
2019,31,Male,TRUE,5,28615.534884418335
2000,23,Male,TRUE,30,20393.00198
2014,39,Male,TRUE,45,113729.75237451505
2000,51,Female,TRUE,45,781.7317427285484
2009,63,Male,TRUE,5,88528.99206
2022,19,Male,FALSE,148,3400
2019,32,Male,FALSE,60,6218.728041081793
2009,48,Female,FALSE,15,13638.099003563802
2000,48,Male,FALSE,15,100265.59308909642
2022,44,Male,FALSE,30,2000
2019,31,Male,FALSE,126,51331.69109706499
2009,44,Female,FALSE,15,1976.160545616395
2022,62,Male,TRUE,2,110000
2000,52,Male,FALSE,2,0
2022,65,Female,FALSE,10,13000
2014,49,Female,FALSE,20,39083.47664209422
2019,52,Female,FALSE,10,48778.040763979494
2014,20,Male,FALSE,148,31427.733637144524
2009,33,Female,TRUE,8,137872.99806662792
2009,27,Female,FALSE,42,15524.248095756677
2009,17,Male,FALSE,25,4756.968932443055
2019,20,Male,FALSE,1,14821.702448733322
2009,27,Male,FALSE,10,19775.24355516751
2014,48,Male,FALSE,30,63787.556766575835
2022,72,Female,TRUE,23,14000
2022,21,Female,FALSE,2,17000
2009,37,Male,TRUE,10,102285.74252672851
2014,56,Female,FALSE,40,47551.398422153216
2022,24,Female,TRUE,5,40000
2019,40,Male,TRUE,30,114462.13953767334
1990,53,Male,FALSE,30,91824.54557050831
2019,32,Female,TRUE,60,23875.657686163282
2022,53,Male,FALSE,40,79000
2022,30,Male,FALSE,15,46100
2022,28,Male,TRUE,5,49300
2022,40,Female,FALSE,5,44000
1990,32,Female,TRUE,45,13437.738376171948
2022,42,Male,FALSE,45,9000
2022,22,Male,FALSE,60,7000
2019,45,Female,FALSE,5,15150.208789206445
2000,39,Female,TRUE,5,124057.42873735659
2009,54,Female,FALSE,15,25471.877508956113
2019,35,Male,FALSE,35,5122.180744310882
2022,35,Male,FALSE,10,30700
2014,49,Female,TRUE,10,38321.981778369205
2014,26,Female,TRUE,7,39977.24415260264
2000,30,Male,FALSE,60,42485.420800464584
2019,41,Male,FALSE,20,111165.62991898836
1990,39,Male,TRUE,45,49047.74507302762
2014,29,Female,FALSE,20,26877.30734920333
2022,28,Female,TRUE,20,460
2014,56,Male,FALSE,15,40228.19132360292
1990,32,Female,FALSE,15,13437.738376171948
2019,59,Female,FALSE,10,29302.307721644378
1990,41,Male,TRUE,30,73907.56106894572
1990,32,Female,FALSE,15,2911.5099815039225
2014,59,Female,FALSE,60,22963.52044
2019,42,Female,TRUE,30,61809.55535034361
2009,42,Male,FALSE,30,14982.815565315193
2019,16,Male,FALSE,10,2745.9467275087836
2019,42,Female,FALSE,15,34338.64186130201
2019,25,Female,FALSE,15,22892.427907534668
1990,21,Male,FALSE,45,17916.984501562598
2019,25,Female,FALSE,20,60971.69248892784
2014,47,Female,FALSE,20,40228.19132360292
2014,47,Female,TRUE,10,9889.543685
2009,30,Female,TRUE,10,31613.113490260894
2014,63,Female,FALSE,20,50284.62105802336
1990,25,Male,TRUE,10,17916.984501562598
2000,36,Female,TRUE,18,49283.08812853892
2022,40,Female,TRUE,30,52000
2009,23,Female,FALSE,12,25278.21650310551
2022,53,Female,TRUE,55,50000
1990,29,Male,TRUE,25,70588.43969003126
2000,18,Female,FALSE,1,16994.168320185832
2019,70,Male,FALSE,15,0
2014,33,Male,FALSE,5,25515.022706630334
1990,23,Male,FALSE,30,46516.97101
2009,30,Female,FALSE,15,51644.753306695406
2019,51,Male,TRUE,25,56817.86144510567
1990,22,Female,FALSE,5,33594.34594042987
1990,63,Female,FALSE,30,17916.984501562598
2019,20,Female,FALSE,10,4389.623051269773
1990,40,Male,TRUE,30,426773.6123349703
2000,33,Female,FALSE,20,48603.32139573149
2014,37,Female,FALSE,15,73993.56584922798
2000,55,Female,FALSE,30,25491.252480278752
2019,52,Male,FALSE,45,91569.71163013867
2009,44,Male,FALSE,40,52217.553464845085
1990,23,Female,FALSE,10,7838.680719433637
2009,43,Female,TRUE,50,77619.87666888302
2000,50,Male,TRUE,40,84291.07486812174
2009,37,Male,FALSE,5,21169.057273331735
2000,49,Male,FALSE,20,6117.900595
2009,58,Male,TRUE,20,110084.0075369663
2019,30,Female,FALSE,10,50363.341396576274
2009,28,Male,FALSE,25,57862.36264242014
2022,38,Male,FALSE,10,90000
2014,58,Female,TRUE,30,50284.62105802336
2000,44,Female,FALSE,45,54381.33862459467
2000,38,Female,FALSE,10,11046.209408120792
2009,44,Female,TRUE,20,61916.96947617966
2014,30,Male,FALSE,10,60473.32344
2009,54,Female,TRUE,15,56450.81939555129
2019,39,Male,FALSE,30,58268.09675304799
2014,29,Male,FALSE,5,29342.276112624884
2019,34,Male,FALSE,30,35812.91421854724
2014,31,Male,TRUE,20,18542.894408888325
2022,42,Male,TRUE,20,74000
2000,24,Male,TRUE,15,37387.170304408835
1990,61,Female,FALSE,12,9316.831940812552
2014,54,Female,FALSE,12,111884.11628435037
2014,54,Female,FALSE,15,30639.042528286474
2019,32,Male,FALSE,20,2387.680230755866
1990,62,Female,FALSE,20,20156.607564257924
2019,40,Male,FALSE,10,35812.91421854724
2000,44,Male,TRUE,20,67976.67328074333
2014,45,Male,FALSE,20,0
1990,45,Male,FALSE,90,0
2022,41,Female,TRUE,30,70000
2019,32,Male,FALSE,10,60882.41202008845
2009,25,Male,FALSE,10,6819.049501781901
2022,59,Female,FALSE,15,42000
2014,61,Male,FALSE,20,79199.17440628321
1990,32,Female,FALSE,20,15990.90866764462
2000,45,Male,FALSE,5,59479.58912065042
2014,26,Male,FALSE,45,18760.464369952613
2019,30,Male,FALSE,5,34144.05622408796
2022,55,Male,FALSE,30,15000
2000,48,Female,TRUE,90,35177.92842278467
2019,31,Male,TRUE,25,49527.76777795126
2000,56,Female,FALSE,30,15294.75148816725
2000,43,Male,TRUE,5,52342.03842617237
2014,27,Male,TRUE,30,39083.47664209422
2022,52,Male,FALSE,20,0
2000,34,Male,FALSE,45,35687.75347239025
1990,21,Male,FALSE,20,17507.133481089353
2009,39,Female,FALSE,60,113874.03525005668
2009,26,Female,TRUE,1,16935.79134262553
2022,30,Female,TRUE,25,65000
2019,25,Male,TRUE,15,14916.70602454959
2014,24,Male,TRUE,30,18856.887420878833
2000,47,Female,FALSE,40,38406.82040361998
2014,46,Male,FALSE,35,0
2000,25,Male,FALSE,30,28890.08614431592
2022,21,Female,FALSE,20,25000
2000,53,Female,FALSE,65,35687.75347239025
2009,57,Male,FALSE,10,27180.731314102657
2014,47,Female,FALSE,20,77943.20235832118
2000,42,Female,FALSE,25,27190.669312297334
2014,42,Female,TRUE,35,65518.226911405414
2009,35,Male,TRUE,20,149833.61089275335
2022,33,Male,FALSE,10,82000
1990,50,Female,FALSE,45,40313.21512851585
2000,78,Female,FALSE,15,50132.79654454821
2019,42,Male,TRUE,8,139643.8102359615
2022,47,Male,TRUE,35,84000
2009,59,Male,TRUE,20,12911.188326673851
2022,41,Male,FALSE,60,50000
2014,26,Female,FALSE,35,91478.27908384906
2019,55,Female,FALSE,15,23306.780852661046
2009,59,Female,TRUE,15,65235.11896374673
2022,23,Female,FALSE,15,20000
2019,56,Female,FALSE,20,71625.82843709447
2014,32,Male,FALSE,5,0
2022,35,Female,TRUE,90,50000
2009,23,Female,FALSE,50,13548.08755014028
2000,37,Male,TRUE,20,134253.9297294681
2009,27,Female,FALSE,10,61371.44551603711
1990,56,Male,FALSE,30,58230.199630078445
2014,63,Male,TRUE,30,199323.75296594357
2000,36,Female,TRUE,15,5438.133862459467
2000,48,Female,FALSE,20,56080.75545661325
2014,58,Female,FALSE,20,46899.92473192094
2014,28,Female,TRUE,30,35231.49937688782
2022,20,Male,FALSE,15,34000
2014,20,Male,FALSE,25,3225.227434185976
2019,32,Male,TRUE,15,40061.748838185675
2014,67,Female,TRUE,5,42864.990908546846
2000,34,Female,FALSE,5,45884.254464501755
2019,24,Male,FALSE,30,34338.64186130201
2019,25,Male,FALSE,30,23875.657686163282
2014,52,Female,TRUE,8,98895.43685
2009,50,Female,FALSE,20,39040.42220760174
2014,16,Male,FALSE,5,1275.7511353315167
2022,49,Female,TRUE,20,125000
2009,32,Male,FALSE,30,43538.26725897708
2019,61,Male,FALSE,10,0
2009,48,Female,FALSE,7,27180.731314102657
2000,48,Male,FALSE,55,61179.00595
2009,73,Male,FALSE,20,12045.16903994755
2022,25,Female,TRUE,5,22100
2014,50,Male,FALSE,45,148343.1552711066
2019,42,Male,TRUE,35,128197.59628219415
2014,51,Female,TRUE,12,40176.27121925804
1990,41,Male,FALSE,10,82866.05331972703
2009,20,Female,FALSE,30,12774.807336638214
2000,41,Male,FALSE,1,0
2014,40,Female,FALSE,35,47034.669764625534
2022,29,Male,FALSE,15,45000
2022,57,Male,FALSE,20,120000
2009,58,Female,TRUE,5,152416.66684402834
1990,52,Male,FALSE,90,49271.70737929715
2014,74,Female,FALSE,30,8062.450488984643
1990,43,Female,FALSE,20,5823.019963007845
2009,17,Male,FALSE,30,7191.369604579193
2000,58,Female,FALSE,15,10196.50099
1990,25,Female,FALSE,10,19648.213129026084
2022,48,Male,FALSE,10,130000
2000,37,Male,TRUE,45,78343.11595605669
2019,66,Male,TRUE,5,0
2022,38,Male,TRUE,6,51000
2019,27,Female,FALSE,30,2804.322418672997
2014,18,Male,FALSE,10,16126.13717092988
2019,35,Male,FALSE,45,14324.93676313982
2019,56,Female,FALSE,10,55582.81495949418
2014,35,Female,TRUE,30,102604.01572918207
2019,20,Female,FALSE,20,8770.089131376531
2022,41,Male,FALSE,30,109000
2009,23,Male,FALSE,15,30477.05984326403
2019,46,Male,FALSE,5,31347.746155182598
2009,23,Male,TRUE,30,15221.48229787756
2019,48,Female,FALSE,30,75605.67702881938
2019,31,Male,FALSE,10,23413.230642431085
2000,56,Female,FALSE,2,8327.142476891058
2014,22,Male,FALSE,20,8597.722041
2022,28,Male,FALSE,15,39000
1990,39,Male,FALSE,45,69316.33379
2019,31,Female,FALSE,5,40759.96788936548
2022,53,Male,TRUE,25,85000
2014,44,Male,FALSE,15,50284.62105802336
2022,54,Female,TRUE,55,60000
2000,42,Male,TRUE,70,67976.67328074333
2022,25,Female,FALSE,10,29000
2022,49,Female,FALSE,20,62000
1990,52,Male,FALSE,35,78386.80719433638
2014,50,Male,TRUE,10,444245.71947630413
2014,46,Female,FALSE,25,61809.64802962775
2009,40,Male,FALSE,60,59933.98988106148
2022,50,Male,FALSE,15,45000
2000,45,Male,TRUE,30,105363.84358515216
2000,72,Male,FALSE,35,3398.8336640371667
1990,40,Female,FALSE,45,41153.07377702659
2009,48,Male,TRUE,15,136380.99
2022,57,Male,FALSE,15,46000
2019,54,Male,FALSE,25,28900.545611867143
2022,38,Male,TRUE,15,518000
2022,30,Male,TRUE,10,70000
2022,40,Female,FALSE,45,0
2009,49,Male,TRUE,30,0
2014,63,Male,TRUE,30,41688.135210062734
1990,29,Female,FALSE,11,11563.173872695963
2019,36,Male,TRUE,10,87799.32875376772
2022,56,Male,FALSE,45,75000
2009,37,Female,TRUE,25,29025.96610928484
2022,36,Male,TRUE,10,32000
2009,33,Female,TRUE,15,25912.388106771225
2014,24,Male,FALSE,10,33596.01609002386
2019,31,Male,TRUE,5,110708.92598223304
2022,40,Male,TRUE,45,175000
2000,23,Male,FALSE,20,54891.163674200245
2019,34,Female,TRUE,20,40787.43880285452
1990,33,Male,FALSE,20,44792.46125
1990,42,Female,FALSE,40,31354.722877734548
2009,26,Female,FALSE,10,31928.153577243218
2019,53,Male,FALSE,30,250691.54415122603
2009,47,Female,TRUE,5,109104.79202851042
2014,27,Male,TRUE,30,0
2019,22,Male,FALSE,20,60598.54591403502
1990,44,Female,FALSE,20,31354.722877734548
2000,50,Male,TRUE,30,180138.18419396985
1990,33,Female,FALSE,5,29563.02442757829
2000,39,Male,FALSE,30,25491.252480278752
2022,51,Female,TRUE,30,200000
2022,34,Male,TRUE,20,50000
2000,54,Female,FALSE,4,28890.08614431592
2014,29,Male,FALSE,25,24752.291649944727
2019,38,Male,TRUE,20,97292.81860702235
2000,29,Female,FALSE,25,11216.15109132265
2000,17,Male,FALSE,15,8497.084160092916
2019,43,Male,FALSE,10,41664.21879
2022,26,Male,TRUE,25,40000
2014,63,Female,TRUE,5,22963.52044
2009,30,Male,TRUE,75,59933.98988106148
1990,55,Female,FALSE,15,43719.68180687544
2019,21,Female,FALSE,25,28649.87352627964
2019,60,Male,FALSE,2,28649.87352627964
2014,49,Male,FALSE,5,44651.28973660309
2022,68,Female,FALSE,45,18900
2014,58,Male,TRUE,80,130277.4313
2009,27,Male,FALSE,15,32618.241386823545
2000,38,Male,FALSE,3,61179.00595
2009,25,Female,FALSE,45,19502.481575096237
2009,52,Male,FALSE,15,53627.732901813586
2009,37,Female,FALSE,45,5515.2472370412015
1990,43,Male,FALSE,80,197086.8295171886
2014,51,Male,FALSE,5,19610.965126840292
2009,28,Female,FALSE,20,43641.91681140417
2019,32,Female,TRUE,45,180630.41316161156
2019,27,Male,FALSE,10,52440.829229185045
2019,21,Male,FALSE,5,14324.93676313982
2019,24,Female,FALSE,15,8646.470020675844
2019,41,Female,FALSE,30,5610.934080136747
2022,51,Male,FALSE,20,39000
2014,65,Male,FALSE,60,131696.58086376725
2009,46,Male,TRUE,20,77737.16432031368
2009,58,Female,TRUE,10,50806.01021797623
2022,43,Male,FALSE,45,70000
2014,20,Female,FALSE,25,25142.928625491975
2019,76,Male,FALSE,2,106091.5232732833
2014,35,Female,FALSE,20,6799.061283259052
2014,52,Male,TRUE,55,80352.54243851607
1990,49,Female,FALSE,15,34938.11977804707
1990,40,Female,FALSE,10,26850.84089865425
2022,54,Male,TRUE,50,122000
1990,24,Male,FALSE,5,15677.361438867274
1990,21,Female,FALSE,10,22396.23062695325
2000,63,Female,TRUE,15,11895.917824130083
1990,28,Female,TRUE,20,31354.722877734548
2009,42,Female,TRUE,40,46441.81853683582
2022,36,Male,TRUE,5,45000
2000,36,Female,FALSE,20,51832.21338
1990,33,Male,TRUE,30,41433.02665986351
2014,33,Female,FALSE,35,45421.43795105225
2019,43,Male,FALSE,15,74109.65686506199
2019,63,Female,TRUE,20,78043.72060097182
2000,42,Female,FALSE,10,4588.4254464501755
2022,60,Male,FALSE,15,22000
2009,35,Male,FALSE,60,97392.39260424982
2022,49,Male,TRUE,35,120000
2014,39,Female,FALSE,25,10751.17017827345
2009,64,Male,TRUE,5,50806.01021797623
2009,51,Female,FALSE,40,36694.66917898877
2019,39,Male,TRUE,10,66850.46797558274
1990,44,Male,FALSE,30,98543.41476
1990,50,Male,FALSE,15,31354.722877734548
2022,33,Female,TRUE,30,86000
2009,22,Female,FALSE,30,20386.230390527173
2000,48,Female,FALSE,10,30589.50298
1990,34,Male,FALSE,20,22396.23062695325
2019,62,Male,TRUE,25,588527.6936180643
2000,46,Male,TRUE,15,203930.01984223002
2009,42,Female,FALSE,35,40772.460781054346
2000,21,Male,FALSE,40,64577.839616706166
2019,68,Female,TRUE,10,59091.079536323865
2014,50,Male,FALSE,15,75561.05852325933
2009,48,Male,TRUE,15,35336.31451823381
2014,25,Male,FALSE,45,23449.344269480174
2019,31,Female,FALSE,5,33425.23398779137
2022,42,Female,TRUE,30,75000
1990,52,Male,FALSE,50,55990.57656738312
2009,38,Male,FALSE,15,34095.24751
2022,40,Male,FALSE,90,41600
2022,33,Male,FALSE,15,30000
2019,59,Male,FALSE,30,29843.71364165757
2009,37,Male,FALSE,35,54552.39601425521
2019,51,Female,TRUE,45,216154.88278852386
2019,25,Male,FALSE,30,23468.172469409164
1990,26,Female,FALSE,15,13437.738376171948
2019,54,Female,FALSE,20,11446.213953767334
2014,64,Female,FALSE,10,521.6734293700582
2019,49,Female,FALSE,1,97577.82933447116
2009,71,Male,FALSE,15,0
1990,48,Male,FALSE,12,51511.330441992475
2014,49,Male,FALSE,22,86005.65284730583
1990,27,Male,FALSE,15,36461.06346067989
2022,26,Male,TRUE,20,1400
2014,55,Female,FALSE,25,25142.928625491975
2009,44,Female,FALSE,1,4500.572671176054
2022,46,Female,FALSE,40,25000
2000,29,Male,FALSE,10,35347.870105986534
2009,33,Male,FALSE,40,50795.09973877338
2014,34,Female,TRUE,20,50284.62105802336
2022,60,Male,FALSE,45,14400
2009,44,Female,TRUE,20,99558.12272601576
2014,50,Female,FALSE,25,60342.28698540438
2014,28,Male,FALSE,123,80630.68585
2009,43,Male,FALSE,10,0
1990,62,Male,FALSE,10,55990.57656738312
2009,34,Male,FALSE,15,68190.49502
2019,32,Male,FALSE,15,32629.72211800454
2019,45,Male,FALSE,60,73166.48883527155
2019,59,Male,FALSE,30,28615.534884418335
1990,36,Female,FALSE,40,76147.18413164104
2000,40,Male,FALSE,20,44184.83763248317
2009,37,Female,TRUE,45,79821.06584805822
1990,20,Male,FALSE,15,19654.93199821417
2009,56,Female,FALSE,25,0
1990,40,Male,FALSE,15,40761.13974105491
2019,33,Male,FALSE,40,124382.57317140349
2014,30,Male,FALSE,40,57784.60374993839
2009,28,Male,FALSE,5,179800.6058332841
2009,43,Female,FALSE,20,2097.539626748113
2014,42,Female,FALSE,10,87998.39589978103
2014,53,Male,FALSE,15,33596.01609002386
2019,37,Male,FALSE,15,70727.30064172373
2009,46,Male,FALSE,30,0
2014,72,Male,TRUE,20,3214.101697540643
2000,39,Female,TRUE,5,59479.58912065042
2000,48,Female,FALSE,5,16314.401587378401
2014,48,Male,FALSE,35,65518.226911405414
1990,42,Female,TRUE,5,8958.492250781299
2014,33,Male,TRUE,30,30170.525396221896
2022,36,Female,TRUE,14,143000
1990,40,Male,TRUE,10,20156.607564257924
2019,26,Female,FALSE,6,47750.17075093119
2019,46,Female,TRUE,5,45784.855815069335
2009,47,Male,FALSE,20,129165.07185285242
2019,22,Male,TRUE,30,24703.21895502066
2019,31,Female,TRUE,8,30879.596004473515
1990,29,Male,FALSE,45,67188.69188085974
2014,50,Male,FALSE,20,43003.44452013321
1990,36,Male,FALSE,20,64949.06881816442
2000,47,Male,FALSE,2,0
2009,26,Female,FALSE,20,47892.91227
2022,40,Female,TRUE,45,99000
2014,36,Female,FALSE,10,21433.11355075372
2014,40,Female,TRUE,25,69226.80579318308
2009,17,Female,FALSE,20,1797.5014486697091
2009,62,Female,FALSE,30,46208.60704387487
2019,17,Male,FALSE,10,3088.1885247264267
2022,20,Female,FALSE,15,2500
2000,49,Male,FALSE,40,70695.74021197307
2022,23,Female,FALSE,25,1600
2014,24,Female,TRUE,30,76545.06812
2019,22,Female,FALSE,15,25852.41884
2019,33,Male,FALSE,30,60971.69248892784
1990,37,Male,TRUE,5,60469.82269277377
2014,19,Female,FALSE,45,3908.842141393659
2022,45,Male,FALSE,25,80000
2009,66,Female,FALSE,45,49097.15641282969
2009,40,Female,FALSE,20,42338.11454666347
1990,35,Male,FALSE,10,31354.722877734548
2009,63,Female,FALSE,30,62109.26667212991
2000,76,Male,FALSE,30,25491.252480278752
2022,16,Female,FALSE,10,6500
2009,39,Male,FALSE,15,52441.218288503536
2014,25,Male,FALSE,25,21633.37681036971
2019,68,Male,TRUE,10,97890.31098
2014,29,Male,FALSE,10,12757.511353315167
2014,21,Female,FALSE,7,3708.5788817776647
2009,41,Female,TRUE,40,77467.12996004311
2014,31,Female,TRUE,30,58755.015224003546
2019,56,Female,FALSE,60,46614.70632671747
2019,30,Female,TRUE,30,82412.74046712481
2009,34,Male,FALSE,60,4495.117431574629
2014,61,Male,FALSE,10,49499.638528047086
2000,51,Male,FALSE,157,57780.17228863184
2022,81,Male,TRUE,15,5000
2000,64,Female,FALSE,15,40786.00397
2019,39,Female,TRUE,20,107459.34584075848
1990,28,Male,FALSE,30,15925.959598826455
2009,56,Male,TRUE,55,122742.89103207421
2009,56,Male,FALSE,35,61022.31018154588
2014,21,Female,FALSE,10,6378.7556766575835
2000,48,Male,TRUE,70,80892.24120408457
2022,51,Female,FALSE,25,75000
2019,57,Female,FALSE,60,25938.265440632156
2000,32,Female,FALSE,15,5098.250496
2000,55,Female,FALSE,40,67976.67328074333
2022,51,Male,TRUE,22,96000
2014,49,Female,FALSE,15,37713.774841757666
2009,39,Male,FALSE,5,101929.7881427355
2014,38,Male,FALSE,20,49447.71842
2019,40,Female,FALSE,30,34584.73546
2019,43,Female,FALSE,90,20976.33169167402
1990,32,Male,FALSE,30,49271.70737929715
2022,38,Female,TRUE,45,175000
2009,23,Female,TRUE,7,46876.8739
2019,51,Female,TRUE,15,131314.40034180498
1990,39,Female,FALSE,35,85105.67638242235
2022,36,Male,FALSE,15,48000
2009,62,Male,TRUE,17,6742.676147361944
1990,31,Male,FALSE,5,62709.445755469096
2022,26,Male,TRUE,15,65000
2009,29,Male,TRUE,10,72819.26581962856
2022,43,Female,TRUE,20,90000
1990,34,Male,FALSE,10,26875.476752343897
2019,32,Male,FALSE,50,17667.23123763988
1990,22,Male,FALSE,35,4927.170737929715
2000,43,Male,FALSE,20,61179.00595
2000,29,Male,TRUE,40,84970.84160092917
